participant,condition,char,RT
MAO_04192025,D_fast,I,545
MAO_04192025,ND_fast,I,974
MHE_04032025,D_fast,I,533
MHE_04032025,ND_fast,I,813
MSN_04092025,D_fast,I,583
MSN_04092025,ND_fast,I,1155
NMS_04112025,D_fast,I,560
NMS_04112025,ND_fast,I,775
OMY_04202025,D_fast,I,560
OMY_04202025,ND_fast,I,932
TCO_03272025,D_fast,I,506
TCO_03272025,ND_fast,I,867
YWG_03262025,D_fast,I,441
YWG_03262025,ND_fast,I,832
AMS_04142025,D_fast,J,322
AMS_04142025,ND_fast,J,1003
APM_04072025,D_fast,J,353
APM_04072025,ND_fast,J,545
ARI_04162025,D_fast,J,403
ARI_04162025,ND_fast,J,598
CJG_03242025,D_fast,J,1074
CJG_03242025,ND_fast,J,694
CKM_04162025,D_fast,J,437
CKM_04162025,ND_fast,J,633
CLE_03272025,D_fast,J,315
CLE_03272025,ND_fast,J,771
EBZ_04182025,D_fast,J,529
EBZ_04182025,ND_fast,J,610
ESU_04182025,D_fast,J,418
ESU_04182025,ND_fast,J,744
JBO_04172025,D_fast,J,483
JBO_04172025,ND_fast,J,564
JCN_04192025,D_fast,J,338
JCN_04192025,ND_fast,J,618
JMY_03312025,D_fast,J,315
JMY_03312025,ND_fast,J,644
JPK_04182025,D_fast,J,441
JPK_04182025,ND_fast,J,510
JWG_03272025,D_fast,J,422
JWG_03272025,ND_fast,J,526
JXI_04182025,D_fast,J,361
JXI_04182025,ND_fast,J,430
KCA_04072025,D_fast,J,395
KCA_04072025,ND_fast,J,690
KHT_04072025,D_fast,J,472
KHT_04072025,ND_fast,J,706
KSN_04042025,D_fast,J,403
KSN_04042025,ND_fast,J,679
MAO_04192025,D_fast,J,729
MAO_04192025,ND_fast,J,610
MHE_04032025,D_fast,J,418
MHE_04032025,ND_fast,J,737
MSN_04092025,D_fast,J,453
MSN_04092025,ND_fast,J,744
NMS_04112025,D_fast,J,476
NMS_04112025,ND_fast,J,575
